Index,Data_Type,Model,Sampling_Method,Accuracy,Precision,Recall,F1-Score,AUC,RECALL,HYPER_PARAMETERS
Random_forest,social,Under,0,0.6,1.00,0.58,0.74,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 2, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,social,Under,1,0.6,0.11,1.00,0.20,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 2, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,social,Over,0,0.58,1.00,0.56,0.72,0.78,0.58,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,social,Over,1,0.58,0.11,1.00,0.19,0.78,0.58,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 10, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,social,Both,0,0.82,0.99,0.81,0.89,0.83,0.82,"('max_depth:', 200, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 10, ' estimator:', 10, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,social,Both,1,0.82,0.19,0.85,0.31,0.83,0.82,"('max_depth:', 200, ' max_feature:', 'sqrt', ' min_samples_leaf:', 10, ' min_samples_split:', 10, ' estimator:', 10, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,social,Smote,0,0.6,1.00,0.58,0.74,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 5, ' min_samples_split:', 2, ' estimator:', 10, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,social,Smote,1,0.6,0.11,1.00,0.20,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 5, ' min_samples_split:', 2, ' estimator:', 10, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,social,BorderlineSmote,0,0.44,1.00,0.41,0.59,0.71,0.44,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' estimator:', 1, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,social,BorderlineSmote,1,0.44,0.08,1.00,0.15,0.71,0.44,"('max_depth:', 1, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' estimator:', 1, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,social,SVMSmote,0,0.21,1.00,0.17,0.29,0.59,0.21,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' estimator:', 1, ' criterion:', 'entropy', ' warm_start:', True)"
Random_forest,social,SVMSmote,1,0.21,0.06,1.00,0.11,0.59,0.21,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 1, ' min_samples_split:', 3, ' estimator:', 1, ' criterion:', 'entropy', ' warm_start:', True)"
Random_forest,social,Adasyn,0,0.6,1.00,0.58,0.74,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 3, ' min_samples_split:', 2, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,social,Adasyn,1,0.6,0.11,1.00,0.20,0.79,0.6,"('max_depth:', 1, ' max_feature:', 'sqrt', ' min_samples_leaf:', 3, ' min_samples_split:', 2, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', False)"
Random_forest,tech,Under,0,0.91,1.00,0.91,0.95,0.95,0.91,"('max_depth:', 50, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' estimator:', 50, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,Under,1,0.91,0.37,1.00,0.54,0.95,0.91,"('max_depth:', 50, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 2, ' estimator:', 50, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,Over,0,0.91,1.00,0.91,0.95,0.95,0.91,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 3, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,Over,1,0.91,0.37,1.00,0.54,0.95,0.91,"('max_depth:', 10, ' max_feature:', 'sqrt', ' min_samples_leaf:', 3, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,Both,0,0.91,1.00,0.91,0.95,0.95,0.91,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' estimator:', 50, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,tech,Both,1,0.91,0.37,1.00,0.54,0.95,0.91,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 1, ' min_samples_split:', 5, ' estimator:', 50, ' criterion:', 'entropy', ' warm_start:', False)"
Random_forest,tech,Smote,0,0.92,1.00,0.91,0.95,0.95,0.92,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,Smote,1,0.92,0.38,1.00,0.55,0.95,0.92,"('max_depth:', 10, ' max_feature:', 'log2', ' min_samples_leaf:', 10, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'gini', ' warm_start:', True)"
Random_forest,tech,BorderlineSmote,0,0.91,1.00,0.91,0.95,0.95,0.91,"('max_depth:', 10, ' max_feature:', 'auto', ' min_samples_leaf:', 5, ' min_samples_split:', 3, ' estimator:', 10, ' criterion:', 'entropy', ' warm_start:', False)"
